Skill,Industry_Demand,Student_Interest,Skill_Gap
Graphic Design and Beauty Trees,0.0,1,-1.0
Graphic Design and Editing,0.0,5,-5.0
Graphical User Interface (GUI) and Video Editing,0.0,1,-1.0
Graphical Users Interface (GUI) and Graphic Design,0.0,1,-1.0
Graphical Usersestimateqrconcil.org,0.0,1,-1.0
Graphicator,0.0,1,-1.0
Graphicdesign,0.0,3,-3.0
Graphics Design,0.0,1,-1.0
Greek Civil Code,0.0,1,-1.0
Green Tech,0.0,1,-1.0
Grid Layout,0.0,1,-1.0
HTML,0.0,5,-5.0
HTML5,0.0,4,-4.0
Hacking and Recovery,0.0,1,-1.0
Handling new idea,0.0,1,-1.0
Health Care Industry,0.0,1,-1.0
Helper Taka,0.0,1,-1.0
High Performance Computing,0.0,1,-1.0
High Performance Logistics,0.0,1,-1.0
Highly Interactative,0.0,1,-1.0
House Rules Written in Bangla,0.0,1,-1.0
Https Enable,0.0,1,-1.0
Hub,0.0,1,-1.0
Human Resource Development,0.0,2,-2.0
Human Resource Management,0.0,1,-1.0
Hybrid Arch,0.0,1,-1.0
IBM Watson,0.0,1,-1.0
IOT,0.0,1,-1.0
IOT technology,0.0,1,-1.0
IP Address,0.0,1,-1.0
IP Protection,0.0,1,-1.0
IT Business,0.0,1,-1.0
IT Competitive Analytics,0.0,1,-1.0
IT Law,0.0,2,-2.0
IT Relational Affairs,0.0,1,-1.0
IT to Business,0.0,1,-1.0
Idea Generation,0.0,1,-1.0
Idea Generator,0.0,1,-1.0
Ideation,0.0,1,-1.0
Illegal Web Security,0.0,1,-1.0
Illustartion,0.0,1,-1.0
Illustration & Design,0.0,27,-27.0
Illustration & design,0.0,1,-1.0
Illustration And Design,0.0,1,-1.0
Illustration and Design,0.0,43,-43.0
Illustrator,0.0,1,-1.0
Illustrator and Adobe Designers,0.0,1,-1.0
Image Engineering,0.0,1,-1.0
Image Manag,0.0,1,-1.0
Image Managemen,0.0,1,-1.0
Image Managements,0.0,2,-2.0
Image Manipulation,0.0,3,-3.0
Image Processing,0.0,99,-99.0
Image Recognition,0.0,1,-1.0
Image processing,0.0,4,-4.0
Imageprocessing,0.0,1,-1.0
Implementation,0.0,1,-1.0
Implementing Artificial Intelligence and Machine learning,0.0,1,-1.0
Implementing MACHINE LEARING AND DATA SCIENCE,0.0,1,-1.0
Impression Count Test,0.0,1,-1.0
Improving Quran Recognition,0.0,1,-1.0
Independent Living,0.0,1,-1.0
Industrial Automation,0.0,1,-1.0
Industrial Engagement,0.0,1,-1.0
Industrial Relations,0.0,1,-1.0
Industry Specific,0.0,1,-1.0
Infectious Diseases,0.0,1,-1.0
Influence,0.0,1,-1.0
Information Theory,0.0,1,-1.0
Infrastructure Development,0.0,1,-1.0
Innovative Thinkings,0.0,1,-1.0
Inspiration,0.0,1,-1.0
Instructor led training,0.0,1,-1.0
Integrated Thinker,0.0,1,-1.0
Integration,0.0,1,-1.0
Integration of Technology,0.0,1,-1.0
Inter persone elsoggi dar,0.0,1,-1.0
InterPersonal Skills,0.0,1,-1.0
InterPersonnel Disputes,0.0,1,-1.0
InterPersonnel Relations,0.0,1,-1.0
Interactive Dialogue and Presentation Style Manual,0.0,1,-1.0
Interactive Presentation,0.0,1,-1.0
Interconnectivity,0.0,1,-1.0
Interface Design,0.0,1,-1.0
Interface Guidae,0.0,1,-1.0
Internet Entrepreneurship,0.0,1,-1.0
Internet Of Things,0.0,1,-1.0
Internet Safety,0.0,1,-1.0
Internet Wars,0.0,1,-1.0
Internet of Things,0.0,308,-308.0
Internet of things,0.0,1,-1.0
Internship opportunities,0.0,2,-2.0
Interpersonal,0.0,1,-1.0
Interpersonal Consciousness,0.0,1,-1.0
Interpersonal Politics,0.0,1,-1.0
Interpersonal Privileges,0.0,2,-2.0
Interpersonal Skill,0.0,7,-7.0
Interpersonal Skills,0.0,402,-402.0
Interpersonal Skils,0.0,1,-1.0
Interpersonal skills,0.0,1,-1.0
Interpersonal skils,0.0,2,-2.0
InterpersonalSkills,0.0,4,-4.0
Interpersonnal Skills,0.0,4,-4.0
Interpersons,0.0,1,-1.0
Interpretation,0.0,1,-1.0
Interval Contingent,0.0,1,-1.0
Investigation,0.0,1,-1.0
IoT,0.0,11,-11.0
IoT Global Area,0.0,1,-1.0
IoT Knowledge,0.0,1,-1.0
IoT certification,0.0,1,-1.0
Iron Throwing,0.0,1,-1.0
Issue Handling,0.0,1,-1.0
Issue Management,0.0,1,-1.0
Issues Analysis and Intellectual Property Creation,0.0,1,-1.0
Issuing Logo and Picture Control,0.0,1,-1.0
Java,0.0,1,-1.0
Java Script,0.0,1,-1.0
Java Script Knowledge,0.0,1,-1.0
JavaScript,0.0,5,-5.0
JavaScript of Interest,0.0,1,-1.0
Joint Stoppage,0.0,1,-1.0
Journalism,0.0,2,-2.0
Julian Date Formats,0.0,1,-1.0
Keyword Research,0.0,1,-1.0
Lab Review,0.0,1,-1.0
Label Encoding,0.0,1,-1.0
Label Printing,0.0,1,-1.0
Labeled Datasets,0.0,1,-1.0
Language Education,0.0,1,-1.0
Language Processing,0.0,1,-1.0
Language Translation,0.0,1,-1.0
Language specific web development,0.0,1,-1.0
Late Night Work,0.0,1,-1.0
Latest Cyber and Data Technology,0.0,1,-1.0
Latest Technology,0.0,1,-1.0
Law Firm Collaboration,0.0,1,-1.0
Law of Computing,0.0,1,-1.0
Law of Cyberspace,0.0,1,-1.0
Layered Neural Network,0.0,1,-1.0
Layout,0.0,1,-1.0
Leader,0.0,1,-1.0
Leadership,0.0,12,-12.0
Least Squares Theory,0.0,1,-1.0
Legislative Issues,0.0,1,-1.0
Length of a software review,0.0,1,-1.0
Licensed Police Application Create,0.0,1,-1.0
Lifecycle of a software,0.0,1,-1.0
Lifecycle of an object,0.0,1,-1.0
Linear Algebra,0.0,2,-2.0
Linux,0.0,1,-1.0
Linux Operating System,0.0,1,-1.0
Linux Performance Testing,0.0,1,-1.0
Linux Privacy,0.0,1,-1.0
Linux System Administration,0.0,1,-1.0
Linux System Design,0.0,1,-1.0
Liposome Functionalities,0.0,1,-1.0
Listening Skills,0.0,1,-1.0
Live Data Analysis,0.0,1,-1.0
Load Testing,0.0,1,-1.0
Logic Mix,0.0,1,-1.0
Logical Consideration,0.0,1,-1.0
Logical Thinking,0.0,1,-1.0
Logistic Regression,0.0,1,-1.0
Logistics,0.0,2,-2.0
Logistics problems,0.0,1,-1.0
London Scheme,0.0,1,-1.0
MI,0.0,1,-1.0
ML,0.0,2,-2.0
ML (Certification in BlockChain),0.0,1,-1.0
ML and Data Engineering,0.0,1,-1.0
Machine Learning,0.0,597,-597.0
Machine Learning journals watch,0.0,1,-1.0
Machine Training,0.0,1,-1.0
Machine learning,0.0,1,-1.0
Managed Council,0.0,1,-1.0
Management,0.0,1,-1.0
Managing Cyber threat,0.0,1,-1.0
Manipulate,0.0,1,-1.0
Math Lib.,0.0,1,-1.0
Math problems solver online,0.0,1,-1.0
Mathematical Formalizations,0.0,1,-1.0
Mathematics,0.0,4,-4.0
Maths Reasoning,0.0,1,-1.0
Media Studies,0.0,1,-1.0
Memory Testing,0.0,1,-1.0
Message Distribution,0.0,1,-1.0
Message Understanding,0.0,1,-1.0
Mobile App Develop,0.0,12,-12.0
Mobile App Development,0.0,725,-725.0
Mobile App development,0.0,12,-12.0
Mobile Application Develop,0.0,2,-2.0
Mobile Application Development,0.0,31,-31.0
Mobile Phone Specification Update,0.0,1,-1.0
Mobile app development,0.0,4,-4.0
Mobile app testing,0.0,1,-1.0
Mobile appdevelopment,0.0,1,-1.0
Mobile apps develop,0.0,1,-1.0
Mobile apps development,0.0,2,-2.0
MobileApp Development,0.0,2,-2.0
Mobiley Based Project Develop,0.0,1,-1.0
Mobility,0.0,1,-1.0
NET for Security related job,0.0,1,-1.0
NETWORKING,0.0,1,-1.0
NETWORKS,0.0,1,-1.0
NEURONS,0.0,1,-1.0
National Council on Cyber Security,0.0,1,-1.0
Natural Language Processing,0.0,1,-1.0
Negotiation,0.0,1,-1.0
Net Ops,0.0,1,-1.0
NetWourd,0.0,1,-1.0
Netizen Relations,0.0,1,-1.0
Netoworking,0.0,1,-1.0
Netoworks,0.0,1,-1.0
Netwerk,0.0,1,-1.0
Netwerk developed,0.0,1,-1.0
Network Architecture,0.0,1,-1.0
Network Defensive,0.0,1,-1.0
Network Secuity,0.0,1,-1.0
Network Securities,0.0,2,-2.0
Network Security,0.0,583,-583.0
Network Security Concern,0.0,1,-1.0
Network Security Related Publishers,0.0,1,-1.0
Network Topographies,0.0,1,-1.0
Network Topological Analyzing,0.0,1,-1.0
Network Topological Inspect,0.0,1,-1.0
Network Topological Study,0.0,1,-1.0
Network Topologies,0.0,222,-222.0
Network Topology,0.0,7,-7.0
Network Topology Analyzed,0.0,2,-2.0
Network security,0.0,4,-4.0
Network topogon,0.0,1,-1.0
Network topologies,0.0,13,-13.0
Network topology,0.0,2,-2.0
Network topolology,0.0,1,-1.0
Network topotes,0.0,1,-1.0
Network topots,0.0,1,-1.0
NetworkTopologies,0.0,1,-1.0
Networktopies,0.0,1,-1.0
Networktopliars,0.0,1,-1.0
Networktoplicator,0.0,1,-1.0
Networm,0.0,2,-2.0
Neural Networks,0.0,2,-2.0
OCI Registration,0.0,1,-1.0
Object Oriented Programming,0.0,1,-1.0
Online Algorithm Testing Robot,0.0,1,-1.0
Online Business Bucket,0.0,1,-1.0
Online Chat Bot Training,0.0,1,-1.0
Online Competition Theory,0.0,1,-1.0
Online Datasets,0.0,1,-1.0
Online Games,0.0,1,-1.0
Online Marketing,0.0,2,-2.0
Online Metrics Tracking,0.0,1,-1.0
Online Safety,0.0,1,-1.0
Online Shoping,0.0,1,-1.0
Online Testing,0.0,1,-1.0
Online Testing Related Work,0.0,1,-1.0
Online threat assessment,0.0,1,-1.0
Open Source Software Logo Generator,0.0,1,-1.0
Opener,0.0,1,-1.0
Opensource software development,0.0,1,-1.0
Operaping Systems,0.0,1,-1.0
Operating System & Networking,0.0,1,-1.0
Operating System and Networking,0.0,3,-3.0
Operating Systems and Computer Science,0.0,1,-1.0
Operating Systems and National Languages,0.0,1,-1.0
Operating Systems and Networking,0.0,471,-471.0
Operating Systems and Networking Big Data Technologies,0.0,4,-4.0
Operating Systems and Networkings,0.0,4,-4.0
Operating Systems and Networks,0.0,1,-1.0
Operating system and Network,0.0,1,-1.0
Operating systems and navigation,0.0,1,-1.0
Operating systems and networking,0.0,2,-2.0
Operation Analysis,0.0,2,-2.0
Operation Management,0.0,1,-1.0
Operation Red Ball,0.0,1,-1.0
Operation Research,0.0,1,-1.0
Operation Strategy,0.0,1,-1.0
Operation System and Project Management,0.0,1,-1.0
Operation Systems,0.0,1,-1.0
Operational Research,0.0,2,-2.0
Operational Review,0.0,1,-1.0
Operational Training,0.0,1,-1.0
Operations & Logistics,0.0,1,-1.0
Operations Analysis,0.0,1,-1.0
Operations and Technology,0.0,1,-1.0
Operative Pedagogue,0.0,1,-1.0
Operting System,0.0,1,-1.0
Operting System and Communication,0.0,1,-1.0
Operting Systems,0.0,4,-4.0
Operting Systems and Networks,0.0,1,-1.0
Operting Systems and networking,0.0,2,-2.0
Operting systems and logic,0.0,1,-1.0
Opportunity to work with block chain,0.0,1,-1.0
Other Game Development,0.0,1,-1.0
Other Research Area,0.0,1,-1.0
PHP or Linux Support,0.0,1,-1.0
PR System,0.0,1,-1.0
Paint,0.0,1,-1.0
Painting,0.0,8,-8.0
Painting and Drawing,0.0,1,-1.0
Paintings,0.0,5,-5.0
Panel of Moderators,0.0,1,-1.0
Paper Analysis,0.0,1,-1.0
Participation in ar/vr and game dev lab,0.0,11,-11.0
Participation in arcade program,0.0,1,-1.0
Perfect Digital Literacy,0.0,1,-1.0
Performance Testing,0.0,79,-79.0
Performance testing,0.0,1,-1.0
Performancing Evaluation of Network,0.0,1,-1.0
Philosophy,0.0,1,-1.0
Phone Application Develop,0.0,1,-1.0
Phone Banking,0.0,1,-1.0
Phonegram Knowledge,0.0,1,-1.0
Photo Encryption,0.0,1,-1.0
Photo Gallery Site,0.0,1,-1.0
Photo Gallery Software Build,0.0,1,-1.0
Photographies,0.0,1,-1.0
Photography,0.0,90,-90.0
Photography Studio,0.0,1,-1.0
Physics,0.0,1,-1.0
Physics for Statistical Analysis,0.0,1,-1.0
Place of birth Hadithi,0.0,1,-1.0
Plant Health,0.0,1,-1.0
Platform Construction,0.0,1,-1.0
Platform Development,0.0,1,-1.0
Platform Testing,0.0,1,-1.0
Policies,0.0,1,-1.0
Policy,0.0,4,-4.0
Policy Writing,0.0,3,-3.0
Policymaking,0.0,1,-1.0
Popular Data Analysis and Visualization Blogs,0.0,1,-1.0
Population Size,0.0,1,-1.0
Portfolio Development,0.0,1,-1.0
Positional Quantity,0.0,1,-1.0
Positivity,0.0,1,-1.0
Practicing Artificial Intelligence and Machine learning,0.0,1,-1.0
Presentation Development,0.0,1,-1.0
Privacy Law,0.0,1,-1.0
Problem Solution,0.0,10,-10.0
Problem Solver,0.0,1,-1.0
Problem Solving,0.0,15,-15.0
Problem Solving & Analysis,0.0,15,-15.0
Problem Solving & Solution Development,0.0,1,-1.0
Problem Solving and Analysis,0.0,947,-947.0
Problem Solving and Analysis Artificial Intelligence of Concept (AIOC),0.0,1,-1.0
Problem Solving and Analyzing,0.0,2,-2.0
Problem Solving and Communication,0.0,1,-1.0
Problem Solving and Design,0.0,1,-1.0
Problem Solving and Output Prediction,0.0,1,-1.0
Problem Solving and Solution Coding,0.0,1,-1.0
Problem Solving and analysis,0.0,2,-2.0
Problem Solvings,0.0,1,-1.0
Problem Solvning,0.0,1,-1.0
Problem solving,0.0,6,-6.0
Problem solving & codning,0.0,1,-1.0
Problem solving and analysis,0.0,3,-3.0
Problem-solving,0.0,2,-2.0
ProblemSolution,0.0,5,-5.0
ProblemSolution-based Development,0.0,1,-1.0
ProblemSolving,0.0,3,-3.0
ProblemSolving and Analysis,0.0,6,-6.0
ProblemSolving and Communication,0.0,1,-1.0
ProblemSolving andAnalysis,0.0,1,-1.0
ProblemSolving andArts,0.0,1,-1.0
ProblemSolving andComputer Science,0.0,1,-1.0
ProblemSolvingandOrientation,0.0,1,-1.0
ProblemSolvingandOrientations,0.0,1,-1.0
ProblemSolvingandViewPointHolding,0.0,1,-1.0
ProblemSolvingandandOperations,0.0,1,-1.0
Problemsolve,0.0,1,-1.0
Problemsolving,0.0,3,-3.0
Problemsolving & analyzing,0.0,2,-2.0
Problemsolving & analyzings,0.0,1,-1.0
Problemsolving & communicativenhanced via DTH,0.0,1,-1.0
Problemsolving & conduct UX/IK Related works,0.0,1,-1.0
Problemsolving and analytical,0.0,1,-1.0
Problemsolving and analytics,0.0,1,-1.0
Problemsolving and communicatin,0.0,1,-1.0
Problemsolving and communicating,0.0,1,-1.0
Problemsolving and communications,0.0,1,-1.0
Problemsolving and leadership,0.0,2,-2.0
Problemsolving anditerativeprocesssspirit,0.0,1,-1.0
Problemsolvingandleading,0.0,1,-1.0
Problemsolvingosthingestiring,0.0,1,-1.0
Product Development,0.0,1,-1.0
Production Support,0.0,1,-1.0
Professional Development,0.0,1,-1.0
Programmer,0.0,1,-1.0
Programming Language and Technology,0.0,1,-1.0
Programming Languages,0.0,7,-7.0
Programming Languages Learning,0.0,1,-1.0
Programming Languages and Environment,0.0,1,-1.0
Programming Languages and Images Management,0.0,1,-1.0
Programming Languages and Software Development,0.0,1,-1.0
Programming Languages and Tools,0.0,1,-1.0
Programming Languages and Virtual Training,0.0,1,-1.0
Programming Related Work,0.0,1,-1.0
Progressive Wooden Board Snake Chatbot,0.0,1,-1.0
Project Administration,0.0,1,-1.0
Project Management,0.0,626,-626.0
Project Managements,0.0,1,-1.0
Project management,0.0,7,-7.0
ProjectManagement,0.0,8,-8.0
Protection from Cyber Security,0.0,1,-1.0
Public Relations,0.0,1,-1.0
Public Speaking,0.0,1,-1.0
Pull Request Integration,0.0,1,-1.0
Pull Request Review Bot,0.0,1,-1.0
Pure Mathematics,0.0,1,-1.0
Qualitative Research,0.0,1,-1.0
Quality Assurance,0.0,1,-1.0
Quantitative Analysis,0.0,2,-2.0
Quantum Mechanics,0.0,1,-1.0
Question Answering,0.0,1,-1.0
Quran Recitation,0.0,1,-1.0
ROLLING NOISE FILTER,0.0,1,-1.0
Random Forest,0.0,1,-1.0
Random Generation Techniques,0.0,2,-2.0
Ray Web,0.0,1,-1.0
Redirecting,0.0,1,-1.0
Regular Expression,0.0,4,-4.0
Regularity,0.0,1,-1.0
Regulation regarding cyber space,0.0,1,-1.0
Religious Non Profits to come.,0.0,1,-1.0
Report Writing,0.0,3,-3.0
Research On Artificial Intelligence,0.0,1,-1.0
Research On Artificial Intelligence And Machine learning,0.0,5,-5.0
Research On Block Chain,0.0,1,-1.0
Research On Blockchain,0.0,1,-1.0
Research On Natural Language Processing,0.0,2,-2.0
Research in Artificial Intelligence and Machine learning,0.0,1,-1.0
Research in Cyberspace,0.0,1,-1.0
Research in Mobile Festivity,0.0,1,-1.0
Research on Adaptivity in Development,0.0,1,-1.0
Research on Artifical Intelligence and Machine learning,0.0,1,-1.0
Research on Artificial Intelligence,0.0,2,-2.0
Research on Artificial Intelligence & Machine learning,0.0,3,-3.0
Research on Artificial Intelligence and Machine learn,0.0,1,-1.0
Research on Artificial Intelligence and Machine learning,0.0,541,-541.0
Research on Artificial Intelligence and Machine learning for Natural Language Processing,0.0,1,-1.0
Research on Artificial Intelligence and Machine learning on different field of science,0.0,1,-1.0
Research on Artificial Intelligence and Machine learning related to Quran,0.0,1,-1.0
Research on Artificial Intelligence and Machine learning related to Quran recitation robots,0.0,1,-1.0
Research on Artificial Intelligence and Machine learnings,0.0,1,-1.0
Research on Artificial Intelligence and Machinelearning,0.0,4,-4.0
Research on Artificial Intelligence and machine learning,0.0,2,-2.0
Research on Artificial Intelligence andMachine learning,0.0,2,-2.0
Research on ArtificialIntelligence and Machine learning related to Quran recitation robot,0.0,1,-1.0
Research on Block Chain,0.0,47,-47.0
Research on Block Chain Technology,0.0,1,-1.0
Research on Block Chains,0.0,1,-1.0
Research on Computer Vision,0.0,1,-1.0
Research on Cyber Security,0.0,104,-104.0
Research on Cyber security,0.0,1,-1.0
Research on Cyberspace,0.0,2,-2.0
Research on Cyclical Repeater Arms,0.0,1,-1.0
Research on Digital Blackhole,0.0,1,-1.0
Research on Digital Religion,0.0,1,-1.0
Research on IoT,0.0,1,-1.0
Research on Mobile App Development,0.0,1,-1.0
Research on Natural Language Processing,0.0,131,-131.0
Research on Natural Language processing,0.0,1,-1.0
Research on Natural LanguageProcessing,0.0,1,-1.0
Research on Nature Based Sensor Technology,0.0,1,-1.0
Research on Network Security,0.0,1,-1.0
Research on Robotics,0.0,3,-3.0
Research on Robotics and IoT,0.0,5,-5.0
Research on Robotics and Machine understanding,0.0,1,-1.0
Research on Robots,0.0,2,-2.0
Research on Social Medias,0.0,1,-1.0
Research on new idea,0.0,1,-1.0
Researh on Android mobile phone,0.0,1,-1.0
Resource Analysis,0.0,1,-1.0
Response Selection,0.0,1,-1.0
Responsible Artificial Intelligence and Machine learning,0.0,1,-1.0
Responsive Design,0.0,4,-4.0
Responsive UI and Ux,0.0,1,-1.0
Revolutionary Skills,0.0,1,-1.0
Rich Media Content Sync,0.0,1,-1.0
Risk Assessment,0.0,1,-1.0
RobotICs Knowledge,0.0,1,-1.0
Robotic,0.0,1,-1.0
Robotic Computing,0.0,1,-1.0
Robotic Technology,0.0,1,-1.0
Robotically designed unit,0.0,1,-1.0
Roboticists,0.0,1,-1.0
Robotickels,0.0,1,-1.0
Robotickies,0.0,1,-1.0
Robotics Knowhow,0.0,18,-18.0
Robotics Knowledge,0.0,284,-284.0
Robotics Knowledges,0.0,1,-1.0
Robotics knowledge,0.0,1,-1.0
Robotics knowledges,0.0,1,-1.0
Roboticsknowledge,0.0,1,-1.0
Robotik,0.0,1,-1.0
Robots,0.0,1,-1.0
Rocketry,0.0,1,-1.0
Rocketunk,0.0,1,-1.0
Roller Coaster,0.0,1,-1.0
Romantic Relationships,0.0,1,-1.0
Roofing Systems,0.0,1,-1.0
Rooting Test,0.0,1,-1.0
Rooting Theory,0.0,1,-1.0
SQL,0.0,4,-4.0
Sample Recovery,0.0,1,-1.0
Science on Code,0.0,1,-1.0
Scientific Computing,0.0,1,-1.0
Scientific Software Development,0.0,1,-1.0
Scientific Virtual Realities,0.0,1,-1.0
Screen Acting,0.0,1,-1.0
Screening and Identity Theft,0.0,1,-1.0
Screenplay Writing,0.0,1,-1.0
Screenwriting,0.0,2,-2.0
Scripting Languages,0.0,1,-1.0
Search Engine Development,0.0,1,-1.0
Search Engine Optimization,0.0,3,-3.0
Search Engine Optimization (SEO),0.0,79,-79.0
Search Engine Optimization (SEO) And Graphic Design,0.0,1,-1.0
Search Engine Optimization (SEO)),0.0,2,-2.0
Search Engine Optimization (SEOM),0.0,1,-1.0
Search Engine Optimization (Seo),0.0,2,-2.0
Search Engine Optimization(SEO),0.0,2,-2.0
Search Engine Optims.,0.0,1,-1.0
Search Engine Ranking,0.0,1,-1.0
Security,0.0,5,-5.0
Security Affairs,0.0,1,-1.0
Security Issues Related Work,0.0,1,-1.0
Seeking innovation,0.0,1,-1.0
Service Delivery,0.0,1,-1.0
Service Development,0.0,1,-1.0
Service Observability,0.0,1,-1.0
Shell Scripting,0.0,1,-1.0
Signal Processing,0.0,2,-2.0
Signals and Systems,0.0,1,-1.0
Silverwalk,0.0,1,-1.0
Site Administration,0.0,1,-1.0
Site Development,0.0,1,-1.0
Sitebuilder,0.0,1,-1.0
Smart Cities,0.0,1,-1.0
Snow God,0.0,1,-1.0
Social Media,0.0,1,-1.0
Social Media Analysis,0.0,1,-1.0
Social Media Analytics,0.0,2,-2.0
Social Media Engagement,0.0,1,-1.0
Social Media Manag,0.0,1,-1.0
Social Media Manage,0.0,3,-3.0
Social Media Management,0.0,15,-15.0
Social Media Manager,0.0,2,-2.0
Social Security,0.0,1,-1.0
Social interaction,0.0,1,-1.0
Society,0.0,1,-1.0
Socket Open,0.0,1,-1.0
Soft robotics,0.0,1,-1.0
Software,0.0,1,-1.0
Software Architectures,0.0,1,-1.0
Software Development,0.0,37,-37.0
Software Development and Business Modeling,0.0,1,-1.0
Software Distribution,0.0,1,-1.0
Software Installation,0.0,1,-1.0
Software QA,0.0,3,-3.0
Software QA Job,0.0,1,-1.0
Software Qaeng,0.0,1,-1.0
Software Quality Assurance,0.0,130,-130.0
Software Quality Assurance Course,0.0,4,-4.0
Software Quality Assurance Register,0.0,1,-1.0
Software Quality Testing,0.0,121,-121.0
Software Quality and Assurance,0.0,1,-1.0
Software Review,0.0,1,-1.0
Software Selection,0.0,1,-1.0
Software Testing Related Work,0.0,48,-48.0
Software Testing Related work,0.0,2,-2.0
Software Testing RelatedWork,0.0,1,-1.0
Software Testing Relatedwork,0.0,1,-1.0
Software Testing Relatied,0.0,1,-1.0
Software Testing Relatized,0.0,1,-1.0
Software test certification,0.0,1,-1.0
Software testing course,0.0,1,-1.0
Software testing course complete,0.0,1,-1.0
Software testing practice,0.0,1,-1.0
Software testing relation,0.0,1,-1.0
Software testing software,0.0,1,-1.0
Software testings,0.0,1,-1.0
Softwares tested,0.0,1,-1.0
Solution Developer,0.0,1,-1.0
Solution Development,0.0,1,-1.0
Spam Filter,0.0,1,-1.0
Spatial Analysis,0.0,1,-1.0
Speak Engagements,0.0,1,-1.0
Speak English and Communicate,0.0,1,-1.0
Speaker Navy,0.0,1,-1.0
Speaking,0.0,1,-1.0
Speaking English and Technical Style,0.0,1,-1.0
Speaking and Listening,0.0,2,-2.0
Speaking engaging prose,0.0,1,-1.0
Special Effects (Films),0.0,1,-1.0
Specialized in Artificial Intelligence and Machine learning,0.0,1,-1.0
Specials Network,0.0,1,-1.0
Specification Writing,0.0,1,-1.0
Speciialized Computer Support,0.0,1,-1.0
Speech Recognition,0.0,3,-3.0
Speech Synthesis,0.0,2,-2.0
Speech recognition,0.0,2,-2.0
Speechrecognition,0.0,1,-1.0
Spider Software Knowledge,0.0,1,-1.0
Spoken English,0.0,1,-1.0
Sports Actuation,0.0,1,-1.0
Static Analyzer,0.0,1,-1.0
Statistic Analysis,0.0,9,-9.0
Statistic Data Analysis,0.0,1,-1.0
Statistic Laboratory,0.0,1,-1.0
Statistic Resources,0.0,1,-1.0
Statistical Analogy,0.0,1,-1.0
Statistical Analyses,0.0,4,-4.0
Statistical Analysis,0.0,624,-624.0
Statistical Analysis Software,0.0,1,-1.0
Statistical Analytics,0.0,6,-6.0
Statistical analysis,0.0,1,-1.0
Statistician,0.0,2,-2.0
Statisticians,0.0,2,-2.0
Statisticly,0.0,1,-1.0
Statistics,0.0,36,-36.0
Stats Contest Drafting,0.0,1,-1.0
Storage Devices,0.0,1,-1.0
Strategy,0.0,1,-1.0
Streaming Media Knowledge,0.0,1,-1.0
Structured Data Technologies,0.0,1,-1.0
Study on Cyber Security,0.0,1,-1.0
Suggestions,0.0,1,-1.0
Swagger Testing,0.0,1,-1.0
Synthetic Language Training,0.0,2,-2.0
System Architecture,0.0,1,-1.0
System Design,0.0,488,-488.0
System Design using UML,0.0,1,-1.0
System Layout,0.0,1,-1.0
System Programming,0.0,3,-3.0
System design,0.0,11,-11.0
Systemdesign,0.0,1,-1.0
Systems Architecture,0.0,2,-2.0
Systems Design,0.0,11,-11.0
Systems Software,0.0,1,-1.0
TCP/DatagramProtocol,0.0,1,-1.0
Talent Development,0.0,1,-1.0
Task management,0.0,1,-1.0
Teaching,0.0,37,-37.0
Teaching Assistantships,0.0,1,-1.0
Teaching Assistantships (TAs),0.0,8,-8.0
Team Building,0.0,2,-2.0
Teamb building,0.0,1,-1.0
Teams management,0.0,1,-1.0
Teamspeak,0.0,2,-2.0
Teamwork,0.0,3,-3.0
Technological Affinity,0.0,1,-1.0
Technology,0.0,2,-2.0
Technology Panel,0.0,1,-1.0
Technology Review,0.0,2,-2.0
Technology Transfer,0.0,1,-1.0
Technology and Policy,0.0,1,-1.0
Technology to work with robotics,0.0,1,-1.0
Telecom Industry,0.0,1,-1.0
Telecommunication,0.0,7,-7.0
Telecommunications,0.0,5,-5.0
Telegram Bots,0.0,1,-1.0
Tempelstein Furnace,0.0,1,-1.0
Temporal Analysis,0.0,1,-1.0
Testing Tools,0.0,1,-1.0
Text Categorization,0.0,1,-1.0
The Internet of Things,0.0,1,-1.0
Theory of Computer Science,0.0,1,-1.0
Theory of Conception,0.0,1,-1.0
Think,0.0,1,-1.0
Time Management,0.0,1,-1.0
Transformer,0.0,1,-1.0
Translation,0.0,4,-4.0
Transportation,0.0,1,-1.0
Transportation Securities,0.0,1,-1.0
Tukey License,0.0,1,-1.0
Twitter Analytics,0.0,1,-1.0
UCT,0.0,1,-1.0
UI / UX Knowledge,0.0,2,-2.0
UI/UX Knitters,0.0,1,-1.0
UI/UX Knowledge,0.0,229,-229.0
UI/UX Related Field,0.0,1,-1.0
UI/UX Related Job,0.0,48,-48.0
UI/UX Related Jobs,0.0,1,-1.0
UI/Ux Knowledge,0.0,8,-8.0
UML Knowledge,0.0,1,-1.0
UNIVERSITIES AND COLLEGES,0.0,1,-1.0
URJC,0.0,1,-1.0
UX / Graphic Design,0.0,1,-1.0
UX / UI Knowledge,0.0,2,-2.0
UX Related Jobs,0.0,1,-1.0
UX/UI Knowledge,0.0,2,-2.0
Ubiquity,0.0,1,-1.0
Ui/Ux Knowledge,0.0,1,-1.0
Understanding different network,0.0,1,-1.0
Unit Testing,0.0,1,-1.0
Unity Education,0.0,1,-1.0
Untethered Jackhammer,0.0,1,-1.0
Upliftment,0.0,1,-1.0
Uptranslate,0.0,1,-1.0
Urban Transport,0.0,1,-1.0
Usage Studies,0.0,1,-1.0
Useless Knowledge erased,0.0,1,-1.0
